ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1000006;Поступление зарплаты на счет;Ремонт;1;0.11;женский;1;0;высшее;менеджер среднего звена;>250;0;37;43;Другое;Иная форма;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;3;13;3;0;0;28;86;0;0;0;0;0;0;0
1000026;Поступление зарплаты на счет;Отпуск;0;0.33;женский;0;0;высшее;специалист;>250;0;16;34;Другое;ЗАО;холост / не замужем;2;2;2;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
1000046;2НДФЛ;Ремонт;0;0.48;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;53;35;Торговля;ООО;холост / не замужем;3;2;2;1;1;0;0;0;0;0;0.3333333333;1;2;14;3;0;0;6;23;0;0;0;0;0;0;0
1000066;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.4;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;36;30;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000086;2НДФЛ;Покупка недвижимости/ строительство;1;0.36;мужской;1;0;среднее-специальное;рабочий;>250;0;49;26;Информационные технологии;ЗАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;5;47;5;0;4;17;52;0;0;0;0;0;0;0
1000106;Свободная форма с печатью работодателя;Покупка земли;1;0.52;мужской;1;0;высшее;специалист;>250;3;19;30;Торговля;ООО;женат / замужем;1;1;1;1;1;0.1707317073;0;0;0;0;0.4444444444;4;5;102;9;3;0;12;94;1;1;1;1;0;0;1
1000126;Поступление зарплаты на счет;Ремонт;1;0.51;женский;1;0;второе высшее;специалист;< 50;0;19;36;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000146;2НДФЛ;Покупка автомобиля;1;0.49;мужской;1;0;высшее;вспомогательный персонал;>250;0;17;37;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000166;Форма банка (без печати работодателя);Ремонт;1;0.15;женский;0;0;высшее;специалист;>250;0;46;34;Информационные технологии;ООО;холост / не замужем;2;1;1;1;0;0.0421052632;1;0;0;0;0.3333333333;3;6;91;9;2;2;8;69;1;0;0;0;0;0;0
1000186;Форма банка (без печати работодателя);Ремонт;1;0.4;мужской;1;0;высшее;менеджер среднего звена;>250;0;36;34;Другое;Государственное предприятие;женат / замужем;0;0;0;0;0;0.1138211382;0;0;0;0;0.25;2;6;109;8;1;3;7;103;1;0;0;0;0;0;0
1000206;Поступление зарплаты на счет;Ремонт;1;0.31;мужской;0;0;высшее;специалист;>250;0;71;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000226;2НДФЛ;Ремонт;1;0.34;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;47;30;Другое;Государственное предприятие;холост / не замужем;4;4;4;3;3;;;;;;;;;;;;;;;;;;;;;
1000246;Форма банка (без печати работодателя);Ремонт;0;0.08;мужской;2;0;высшее;менеджер высшего звена;< 50;0;17;38;Торговля;ООО;женат / замужем;4;4;3;3;1;;;;;;;;;;;;;;;;;;;;;
1000266;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;высшее;вспомогательный персонал;>250;1;52;50;Торговля;ООО;холост / не замужем;3;3;3;1;1;0;0;0;0;0;0.375;3;5;74;8;1;1;4;22;0;0;0;0;0;0;0
1000286;Поступление зарплаты на счет;Ремонт;1;0.13;мужской;1;0;высшее;рабочий;>250;0;162;46;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;3;18;3;0;0;11;94;0;0;0;0;0;0;0
1000306;2НДФЛ;Ремонт;0;0.46;женский;0;0;высшее;специалист;>250;0;34;26;Торговля;ООО;холост / не замужем;11;11;4;1;0;0;0;0;0;0;1;2;0;34;2;2;0;15;17;0;0;0;0;0;0;0
1000326;2НДФЛ;Ремонт;1;0.25;мужской;5;0;незаконченное высшее;специалист;>250;0;74;30;Другое;Государственное предприятие;женат / замужем;1;0;0;0;0;0.0340909091;1;0;0;0;0;0;3;85;3;0;1;39;89;1;0;0;0;0;0;0
1000346;Поступление зарплаты на счет;Другое;0;0.37;мужской;0;0;среднее;менеджер среднего звена;>250;0;30;23;Другое;ООО;холост / не замужем;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1000366;Поступление зарплаты на счет;Ремонт;0;0.24;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000386;Поступление зарплаты на счет;Ремонт;0;0.43;женский;0;0;высшее;специалист;>250;0;98;47;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000406;Форма банка (без печати работодателя);Покупка мебели;1;0.44;мужской;0;0;среднее;рабочий;< 50;0;70;50;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
